Protein_A,Protein_B,label
Q07955,Q9BYG3,1
P04406,Q15415,0
O60812,O75152,1
A6NDE4,Q14151,0
Q08170,Q969L4,0
Q05519,Q8N2M8,0
Q92945,Q9BZC1,0
Q05519,Q8WXF0,1
O95104,Q7Z2T5,0
Q13243,Q9BYG3,1
P26368,Q9UNW9,0
P10155,P41214,0
Q13243,Q96J87,0
P21399,Q9BWF3,0
O15541,Q86SG3,0
Q15397,Q9H9Z2,1
Q08170,Q8WXF0,1
P47974,Q13247,0
Q14151,Q9H0J9,0
O95218,Q08170,0
O75152,Q14151,1
Q9H9Z2,Q9NXG2,1
P09651,Q9BYG3,0
O95218,Q8WU68,0
Q15397,Q9BYG3,1
Q07955,Q7Z2W4,1
Q01130,Q8N2M8,0
Q96QC0,Q9BRL6,0
O14979,Q16629,0
Q01130,Q9H0J9,0
P08621,P63162,1
Q8WXF0,Q9BRL6,0
Q7Z2W4,Q86U06,0
P63162,Q460N5,0
Q13117,Q96QC0,0
O43251,O95319,0
P79522,Q16587,0
P60484,Q15365,0
Q5SZQ8,Q92879,0
O60812,Q96K80,1
P09012,P63162,1
Q7Z2W4,Q9H9Z2,1
Q9H9Z2,Q9NXG2,1
Q7Z2W4,Q9H9Z2,1
Q15397,Q9BWF3,1
P09012,Q96J87,0
Q08170,Q13243,1
Q8N5P1,Q9Y2T7,1
P26651,Q9Y2T7,0
P63162,Q9BWF3,0
P08621,Q9UPT8,0
O60812,Q96K80,1
P48200,Q86V81,1
P84103,Q08170,1
Q8WXF0,Q9H9Z2,1
Q16629,Q8IX01,0
Q07955,Q15397,1
Q8N5P1,Q9NXG2,1
Q9BRA0,Q9Y2T7,0
O15047,Q9UNW9,0
Q96J87,Q9Y2T7,0
P0DJD3,Q9UPN6,0
P26368,P26651,0
P09012,P63162,1
P09651,P60484,0
Q08170,Q13243,1
O15541,Q9BTD8,0
P84103,Q8WXF0,1
P09651,P63162,0
P41214,Q16600,0
Q15397,Q9BWF3,1
O95319,Q16587,0
Q13064,Q7Z2T5,0
Q8N5P1,Q9NXG2,1
Q9BYG3,Q9Y2T7,1
P41214,Q92879,0
P84103,Q8WXF0,1
P79522,Q92945,0
Q86U42,Q9Y2T7,0
Q16587,Q8WXF0,0
Q15397,Q96K80,1
P26651,Q13064,0
O60812,O75152,1
P41214,Q9BTD8,0
P26368,Q9NQS3,0
O95218,P10155,0
P84103,Q14493,0
Q07955,Q9UPS6,0
P47974,Q86V81,0
Q05519,Q8WXF0,1
O95104,Q9H361,0
Q9BYG3,Q9H9Z2,1
Q15397,Q9H9Z2,1
Q15397,Q9H9Z2,1
O43251,Q15397,0
Q13243,Q15397,1
Q05519,Q13242,1
Q92945,Q969L4,0
Q7Z2W4,Q96K80,1
Q08170,Q96K80,1
P08621,Q9Y2T7,0
Q7Z2W4,Q96K80,1
Q07955,Q8N5P1,1
P47974,P52597,0
P79522,Q7Z2W4,1
O60812,P84103,0
Q07955,Q13243,1
Q16600,Q53GL7,0
Q7Z2W4,Q9UPS6,0
Q14493,Q9H9Z2,0
Q8N5P1,Q9NXG2,1
P98179,Q8N6W0,0
Q9BRL6,Q9GZT3,0
P09651,Q8WXF0,0
P84103,Q08170,1
P79522,Q7Z2W4,1
Q9BZC1,Q9UPS6,0
Q13243,Q7Z2W4,1
Q13242,Q15397,0
Q07955,Q15397,1
Q08170,Q13243,1
O95104,Q86TM3,0
O75152,Q14151,1
Q8WXA9,Q9BRL6,0
O60812,O75152,1
O15042,Q9BRL6,0
Q7Z2W4,Q9NQZ3,0
Q08170,Q13243,1
Q9H9Z2,Q9NXG2,1
Q07955,Q9BYG3,1
Q13243,Q96K80,1
Q7Z2T5,Q9H361,0
O95758,Q86V81,0
Q9GZT3,Q9NQZ3,0
Q969L4,Q9H9Z2,0
P10155,Q9GZT3,0
P79522,Q9H9Z2,0
P79522,Q7Z2W4,1
P98179,Q4VXU2,0
Q13117,Q8IWZ8,0
P10155,P84103,1
Q13247,Q9H361,0
P63162,Q13117,0
Q96K80,Q9BYG3,1
O75152,P84103,1
Q13243,Q9BYG3,1
Q08170,Q9Y4F3,0
Q92879,Q99973,0
P79522,Q13117,0
Q9NWB1,Q9NXG2,0
P10155,Q16587,0
O60812,O75152,1
Q08170,Q13243,1
Q07955,Q13243,1
Q15397,Q9BYG3,1
P04406,Q53GL7,0
O95218,P09012,0
Q01130,Q9BRA0,0
Q8WXF0,Q96PK6,0
Q15397,Q9BWF3,1
P41214,Q9BWF3,0
Q16629,Q9Y2T7,0
Q13243,Q9H9Z2,1
O95319,Q9Y2T7,0
P63162,Q8WXA9,0
Q13243,Q15397,1
P08621,P63162,1
P09651,Q9GZT3,0
O95218,Q9BRL6,0
Q08170,Q96K80,1
P84103,Q8WXF0,1
Q13243,Q7Z2W4,1
O15504,Q86SG3,0
O60812,Q14151,0
Q07955,Q969L4,0
Q8N5P1,Q9NXG2,1
P21399,P55795,0
P26651,Q16587,0
P41214,Q969L4,0
P55795,Q4VXU2,0
Q53GL7,Q9H361,0
Q07955,Q13243,1
P79522,Q8N2M8,0
Q13247,Q53GL7,0
O95319,Q15415,0
Q9BTD8,Q9H9Z2,0
P98179,Q86U06,0
Q16629,Q86TM3,0
Q13243,Q9BYG3,1
O95758,P48200,0
Q13242,Q15365,0
P55795,Q07955,0
Q4VXU2,Q86TM3,0
Q8N5P1,Q9Y2T7,1
P84103,Q9H0L4,0
O60812,O75152,1
Q07955,Q7Z2W4,1
Q15397,Q9BWF3,1
P48200,Q86V81,1
Q92945,Q9Y2T7,0
O15504,P55795,0
P08621,P63162,1
O95104,Q13117,0
Q13247,Q8N6W0,0
Q08170,Q96K80,1
Q8WXF0,Q9H9Z2,1
Q15397,Q7Z2W4,1
Q4VXU2,Q969L4,0
Q8N5P1,Q9NXG2,1
O15541,P26651,0
P47974,Q96K80,0
Q08170,Q8WXF0,1
O15541,Q14493,0
Q13243,Q9H9Z2,1
Q15397,Q7Z2W4,1
Q15397,Q7Z2W4,1
P98179,Q15397,0
Q07955,Q9BRL6,0
Q15397,Q96K80,1
P09012,P63162,1
Q8WXA9,Q9BRA0,0
Q13243,Q7Z2W4,1
P09012,Q13247,0
Q8WVV9,Q9BRA0,0
O95319,Q96K80,0
Q07955,Q15397,1
Q08170,Q9Y2T7,1
P48200,Q86V81,1
Q86V81,Q9NWB1,0
Q13243,Q9H9Z2,1
Q08170,Q9Y2T7,1
P60484,Q7Z2T5,0
Q4VXU2,Q96J87,0
Q8N5P1,Q9NR90,0
Q9BYG3,Q9Y2T7,1
O14979,Q8WXF0,0
Q460N5,Q9GZT3,0
O60812,Q7Z2W4,0
Q9BRL6,Q9BTD8,0
P48200,Q86V81,1
Q86U06,Q9H0J9,0
Q15397,Q9BWF3,1
Q08170,Q96K80,1
Q08170,Q9Y2T7,1
Q8N5P1,Q9H9Z2,1
O60812,P0DJD3,0
Q7Z2W4,Q9BYG3,1
P79522,Q7Z2W4,1
P08621,P63162,1
Q08170,Q8WXF0,1
Q08170,Q9Y2T7,1
Q9H9Z2,Q9NQS3,0
P79522,Q8N5P1,1
Q92879,Q9Y2T7,0
P48200,Q9UPS6,0
Q13247,Q9UPS6,0
P98179,Q7Z2W4,0
P08621,P63162,1
Q16629,Q86U06,0
P48200,Q9H9Z2,1
P26651,P98179,0
P04406,Q8IX01,0
Q05519,Q8WXF0,1
Q9H9Z2,Q9NXG2,1
P09012,P63162,1
O95319,Q9NWB1,0
P09012,P63162,1
O15504,Q01130,0
A6NDE4,Q08170,0
Q07955,Q7Z2W4,1
P63162,Q13247,0
P98179,Q86U42,0
Q08170,Q8WXF0,1
P04406,P48200,0
O95218,Q12872,0
Q05519,Q08170,1
Q07955,Q15397,1
Q07955,Q9BYG3,1
Q13117,Q14493,0
P10155,P84103,1
P79522,Q7Z2W4,1
O95319,Q9UPT8,0
P08621,Q8IWZ8,0
Q7Z2W4,Q9BYG3,1
O60812,Q9H0L4,0
O60812,O75152,1
O95319,P55795,0
Q8N5P1,Q9H9Z2,1
Q86TM3,Q9BYG3,0
Q08170,Q8WXF0,1
P48200,Q9UPN6,0
Q7Z2W4,Q9BYG3,1
O75152,Q14151,1
P84103,Q15397,1
P09012,P63162,1
P84103,Q7Z2W4,0
Q05519,Q8WXF0,1
O15504,Q9UPT8,0
P84103,Q8WXF0,1
P48200,Q9H9Z2,1
Q8WVV9,Q9NQS3,0
Q13064,Q8N2M8,0
P09012,P63162,1
P48200,Q9GZT3,0
Q13243,Q9BYG3,1
P08621,Q9NR90,0
Q14493,Q4VXU2,0
Q13243,Q15397,1
Q07955,Q7Z2W4,1
P26368,Q16587,0
P79522,Q9Y4F3,0
P26368,Q16629,0
Q13242,Q8IWZ8,0
Q07955,Q15397,1
Q96K80,Q9BYG3,1
O14979,Q7Z2T5,0
Q969L4,Q96K80,0
P47974,Q05519,0
P41214,Q9BRL6,0
P79522,Q7Z2W4,1
O60812,Q96J87,0
O95319,Q8WXF0,0
Q05519,Q13242,1
P08621,P09012,1
Q9UPS6,Q9Y4F3,0
Q13243,Q9H9Z2,1
P84103,Q8WXF0,1
Q15397,Q7Z2W4,1
P84103,Q8WXF0,1
Q14493,Q9BX46,0
Q08170,Q9Y2T7,1
Q05519,Q08170,1
O15042,Q9H9Z2,0
Q8WXF0,Q9H9Z2,1
P10155,Q8IWZ8,0
Q4VXU2,Q9Y4F3,0
Q13117,Q86SG3,0
O60812,O75152,1
P09651,Q6ZN04,0
P21399,P48200,0
P08621,Q9BZC1,0
Q07955,Q8N5P1,1
Q8WXF0,Q9H9Z2,1
Q08170,Q96K80,1
Q15397,Q9BYG3,1
O15541,Q9H0L4,0
Q08170,Q8WXF0,1
Q86V81,Q9UPS6,0
P26651,Q9BX46,0
A6NDE4,Q07955,0
Q8WXF0,Q9H9Z2,1
P09651,P55795,0
Q7Z2W4,Q9H9Z2,1
Q8N5P1,Q9NXG2,1
O15504,P41214,0
P48200,Q86V81,1
Q9BYG3,Q9Y2T7,1
P04406,Q86U06,0
O75494,Q9NQS3,0
Q07955,Q8N5P1,1
Q07955,Q13243,1
Q16587,Q460N5,0
P60484,Q05519,0
O95758,P08621,0
Q7Z2W4,Q9H9Z2,1
P09012,Q9NQS3,0
O14979,O15541,0
Q8IWZ8,Q9BZC1,0
Q15397,Q9BWF3,1
Q08170,Q9Y2T7,1
Q15365,Q86TM3,0
Q01130,Q12872,0
Q14151,Q8IX01,0
P0DJD3,Q9NQS3,0
Q96K80,Q9BYG3,1
Q96PK6,Q9NXG2,0
P84103,Q8WXF0,1
O14979,Q14493,0
Q08170,Q8WXF0,1
O75494,Q15415,0
Q8WVV9,Q9BTD8,0
Q13247,Q96PK6,0
Q08170,Q8WXF0,1
Q14493,Q9NXG2,0
P63162,Q9BRA0,0
P47974,Q15415,0
Q8WVV9,Q9NXG2,0
Q08170,Q9Y2T7,1
P60484,Q07955,0
Q05519,Q08170,1
Q8N5P1,Q96PK6,0
Q7Z2W4,Q9H9Z2,1
O60812,O75152,1
P21399,P84103,0
Q6ZN04,Q96PK6,0
Q8WXF0,Q92945,0
P57052,Q9H361,0
Q07955,Q9BYG3,1
Q9H9Z2,Q9NXG2,1
Q13243,Q14493,0
P09012,P63162,1
Q9BYG3,Q9Y2T7,1
Q15397,Q53GL7,0
Q8IX01,Q9BRL6,0
A6NDE4,Q15397,0
O43251,Q92879,0
O75152,P84103,1
Q4VXU2,Q8N2M8,0
P84103,Q08170,1
Q9BYG3,Q9Y2T7,1
P79522,Q7Z2W4,1
Q9BYG3,Q9H9Z2,1
Q08170,Q13243,1
O95218,Q01130,0
Q13243,Q96K80,1
O75494,P47974,0
Q9BYG3,Q9H9Z2,1
Q8WXF0,Q9H9Z2,1
Q05519,Q13242,1
Q9BYG3,Q9H9Z2,1
Q05519,Q8WXF0,1
Q07955,Q15397,1
O43251,O95758,0
Q08170,Q9Y2T7,1
O60812,Q96K80,1
O95218,P60484,0
Q15397,Q7Z2W4,1
Q53GL7,Q9BZC1,0
Q15415,Q7Z2T5,0
O15541,O95319,0
Q13243,Q9H9Z2,1
Q01130,Q969L4,0
P63162,P84103,0
Q15397,Q7Z2W4,1
Q07955,Q15397,1
P41214,Q13242,0
Q13243,Q7Z2W4,1
P08621,P63162,1
Q05519,Q08170,1
Q7Z2W4,Q9BYG3,1
O15541,O43251,0
P84103,Q08170,1
P84103,Q15397,1
P09012,P63162,1
O43251,Q460N5,0
P10155,Q9H361,0
Q8N5P1,Q9NXG2,1
O43251,P26368,0
Q6ZN04,Q8WXA9,0
P08621,P09012,1
Q13117,Q9NQZ3,0
Q96K80,Q9BYG3,1
Q86V81,Q8WVV9,0
A6NDE4,P0DJD3,0
Q08170,Q8WXF0,1
Q8N5P1,Q9NXG2,1
P84103,Q8WXF0,1
Q9BRA0,Q9BTD8,0
P48200,Q16629,0
Q9BRL6,Q9BZC1,0
Q05519,Q8WXF0,1
Q8IWZ8,Q96PK6,0
Q460N5,Q5SZQ8,0
O95758,Q15415,0
Q7Z2W4,Q9BYG3,1
Q15397,Q96K80,1
Q07955,Q9UPT8,0
Q96K80,Q9H361,0
Q13243,Q9H9Z2,1
Q07955,Q13243,1
P0DJD3,Q9NR90,0
Q12872,Q96K80,0
P79522,Q7Z2W4,1
O75494,P57052,0
P84103,Q8WXF0,1
P08621,Q15365,0
O15504,Q16600,0
Q9BYG3,Q9Y2T7,1
P48200,Q86V81,1
Q13243,Q7Z2W4,1
Q07955,Q15397,1
Q7Z2W4,Q96K80,1
Q96QC0,Q9BX46,0
Q08170,Q8WXF0,1
P09012,P63162,1
O60812,Q96K80,1
P08621,P63162,1
Q15397,Q9BYG3,1
O95218,P08621,0
Q8NDT2,Q9H9Z2,0
P52597,Q8N6W0,0
P09012,Q460N5,0
O15541,Q12872,0
P84103,Q8WXF0,1
Q07955,Q13243,1
Q5SZQ8,Q9NWB1,0
Q15397,Q9BYG3,1
Q16600,Q9H0L4,0
Q08170,Q96K80,1
Q05519,Q08170,1
Q15397,Q969L4,0
Q9BYG3,Q9Y2T7,1
Q7Z2W4,Q96K80,1
Q07955,Q13243,1
P60484,Q13117,0
Q05519,Q8WXF0,1
Q16587,Q9BTD8,0
Q9BZC1,Q9NQS3,0
P79522,Q7Z2W4,1
P08621,Q14151,0
Q05519,Q96K80,0
Q14493,Q96J87,0
P21399,Q9H0J9,0
P48200,Q9H9Z2,1
P84103,Q15397,1
Q15397,Q7Z2W4,1
Q05519,Q08170,1
Q13117,Q6ZN04,0
P52597,Q7Z2W4,0
Q01130,Q9BX46,0
Q9BYG3,Q9Y2T7,1
P10155,Q9BX46,0
Q9BYG3,Q9H0L4,0
P57052,Q8WXA9,0
P09012,P63162,1
Q15397,Q96QC0,0
Q16600,Q9H0J9,0
Q8NDT2,Q9H361,0
P08621,P63162,1
Q8N5P1,Q9NXG2,1
O75152,P84103,1
P08621,P63162,1
P09651,P10155,0
P21399,Q9NQS3,0
Q16629,Q9GZT3,0
P60484,Q8WVV9,0
P48200,P98179,0
O15504,P48200,0
P47974,Q8WXF0,0
O60812,O75152,1
Q96QC0,Q9UPT8,0
Q13243,Q9BYG3,1
Q07955,Q13243,1
O15504,P0DJD3,0
Q15415,Q6ZN04,0
P98179,Q16587,0
P84103,Q8WXF0,1
O95758,Q16600,0
P63162,Q86SG3,0
Q5SZQ8,Q96K80,0
P08621,Q96QC0,0
O15042,Q8N2M8,0
P10155,P84103,1
O15047,Q8IWZ8,0
P57052,Q16600,0
P48200,Q9H9Z2,1
Q07955,Q8N5P1,1
Q8N5P1,Q9NXG2,1
P26651,Q9NQS3,0
P09651,Q8NDT2,0
O15047,P48200,0
Q13243,Q9BYG3,1
O43251,P52597,0
Q9BYG3,Q9H9Z2,1
O75152,Q14151,1
Q15397,Q9BWF3,1
Q05519,Q14493,0
Q7Z2W4,Q96K80,1
Q07955,Q8N5P1,1
O95218,P0DJD3,0
Q8N5P1,Q9Y2T7,1
O15042,Q14493,0
Q08170,Q9Y2T7,1
Q13243,Q96K80,1
Q8N5P1,Q9NXG2,1
O95104,Q15365,0
Q13243,Q9BYG3,1
Q13117,Q92945,0
Q9BYG3,Q9Y2T7,1
Q08170,Q92879,0
P55795,Q9GZT3,0
Q7Z2W4,Q9BYG3,1
O75152,Q15397,0
Q15397,Q9GZT3,0
O60812,Q96K80,1
P10155,P84103,1
P48200,Q86V81,1
Q13243,Q9H9Z2,1
P09012,P63162,1
Q8N6W0,Q9GZT3,0
Q7Z2W4,Q96K80,1
O75152,P55795,0
P26651,Q9NR90,0
Q08170,Q13243,1
P52597,Q15415,0
Q15397,Q8NDT2,0
Q7Z2W4,Q96K80,1
Q96K80,Q9BYG3,1
Q13243,Q6ZN04,0
P10155,P84103,1
Q15397,Q96K80,1
Q96K80,Q9BYG3,1
Q07955,Q9BYG3,1
O15541,Q9BWF3,0
P47974,Q86U06,0
O75494,Q16600,0
Q14151,Q15365,0
Q15397,Q9H9Z2,1
O15047,Q96K80,0
P08621,Q8WXF0,1
P60484,Q53GL7,0
Q07955,Q15397,1
O75152,P84103,1
Q14493,Q86V81,0
O60812,Q96K80,1
Q8WXF0,Q9H9Z2,1
Q13243,Q9BYG3,1
O60812,Q86U06,0
P10155,P84103,1
O15042,Q53GL7,0
Q86SG3,Q9NR90,0
P08621,P09012,1
Q7Z2T5,Q9NR90,0
P08621,P84103,0
Q8WVV9,Q9BX46,0
Q08170,Q13243,1
P55795,Q9UPT8,0
P09012,Q15397,0
Q07955,Q13243,1
O75494,Q96K80,0
P26368,Q8WVV9,0
Q12872,Q9BWF3,0
Q15397,Q9H9Z2,1
Q15397,Q9H9Z2,1
Q92879,Q96J87,0
Q4VXU2,Q9H0J9,0
Q05519,Q92879,0
P84103,Q08170,1
Q15415,Q8N2M8,0
Q460N5,Q8WVV9,0
Q8WU68,Q96K80,0
O15042,Q9NQZ3,0
Q07955,Q8N5P1,1
P09651,Q9Y2T7,0
Q07955,Q8N5P1,1
O95104,P57052,0
P26651,P55795,0
Q7Z2T5,Q86U42,0
Q15397,Q7Z2W4,1
O75152,Q14151,1
Q07955,Q13243,1
P10155,P84103,1
P09012,P48200,0
O43251,Q9H0J9,0
P48200,Q9H9Z2,1
Q05519,Q13242,1
Q9BYG3,Q9H9Z2,1
P08621,P09012,1
Q8N5P1,Q9NXG2,1
Q16600,Q9NXG2,0
P08621,P09012,1
O15042,Q9H0J9,0
Q96J87,Q9BTD8,0
Q14151,Q16587,0
Q86SG3,Q9NQS3,0
Q9BTD8,Q9Y4F3,0
Q8WXF0,Q9H9Z2,1
O43251,Q9NXG2,0
P21399,Q8WU68,0
O60812,Q9NR90,0
O75152,Q14151,1
Q07955,Q8N5P1,1
Q08170,Q96K80,1
Q08170,Q13243,1
P84103,Q15397,1
P09012,Q8N5P1,0
Q07955,Q9BYG3,1
O60812,Q9NWB1,0
O95104,P98179,0
O95319,Q9BRA0,0
Q08170,Q9Y2T7,1
P08621,P63162,1
P84103,Q15397,1
Q08170,Q9Y2T7,1
Q9BZC1,Q9NWB1,0
Q15397,Q9BWF3,1
Q13243,Q9BYG3,1
P84103,Q15397,1
A6NDE4,Q14493,0
O95319,Q15365,0
Q07955,Q13243,1
P08621,Q8WXF0,1
P48200,Q86V81,1
Q8N5P1,Q9Y2T7,1
O95758,P09651,0
Q15415,Q86SG3,0
Q16600,Q9UPS6,0
O15541,P60484,0
Q8IWZ8,Q99973,0
Q8N5P1,Q9NXG2,1
Q15365,Q7Z2T5,0
Q8N5P1,Q9NXG2,1
P10155,P84103,1
Q8N5P1,Q9Y2T7,1
P84103,Q13247,0
Q08170,Q9Y2T7,1
Q86SG3,Q92945,0
O95104,Q8WXA9,0
O75152,Q14151,1
O15504,Q86TM3,0
Q9NQZ3,Q9UPT8,0
O95319,Q9BX46,0
Q13243,Q9H9Z2,1
Q15397,Q7Z2W4,1
P79522,Q16600,0
P84103,Q9BRA0,0
P48200,Q9H9Z2,1
Q13243,Q9BYG3,1
Q07955,Q86TM3,0
P98179,Q13117,0
Q05519,Q13242,1
O95104,Q9BZC1,0
Q14493,Q8N2M8,0
Q07955,Q13243,1
O95218,Q8WXA9,0
O60812,Q96K80,1
Q7Z2W4,Q9BYG3,1
Q05519,Q8WXF0,1
O60812,O75152,1
Q13243,Q9H9Z2,1
Q15397,Q96K80,1
Q12872,Q9BRL6,0
P48200,P84103,0
O60812,Q96K80,1
Q05519,Q8WXF0,1
Q9NXG2,Q9UNW9,0
Q07955,Q7Z2W4,1
O95218,Q9BZC1,0
Q9BWF3,Q9GZT3,0
Q15397,Q7Z2W4,1
Q15397,Q9BYG3,1
Q8N2M8,Q8WXA9,0
Q9H9Z2,Q9NXG2,1
Q15397,Q9BWF3,1
Q13243,Q96K80,1
Q15397,Q7Z2W4,1
P26368,Q05519,0
Q7Z2W4,Q9BYG3,1
P48200,Q9H9Z2,1
Q5SZQ8,Q9NR90,0
P84103,Q8WXF0,1
O75152,Q14151,1
P10155,Q9UNW9,0
O75152,Q07955,0
P09012,P63162,1
P08621,Q8WXF0,1
Q15397,Q9BWF3,1
O15541,Q9BZC1,0
Q8WXA9,Q9NXG2,0
O95758,Q86U06,0
Q05519,Q13242,1
O60812,Q9NQS3,0
P09651,Q8WXA9,0
P10155,Q96QC0,0
Q16587,Q7Z2W4,0
O15047,Q9NWB1,0
Q9BYG3,Q9H9Z2,1
O15541,Q5SZQ8,0
Q15397,Q9H9Z2,1
P84103,Q08170,1
P08621,P09012,1
Q15397,Q8N2M8,0
P09651,Q9H9Z2,0
O43251,Q8N2M8,0
Q9H9Z2,Q9NXG2,1
Q9BRL6,Q9H0L4,0
Q16600,Q8WU68,0
P55795,Q7Z2W4,0
P52597,Q8WXA9,0
P84103,Q15397,1
Q7Z2W4,Q96PK6,0
O75152,Q7Z2T5,0
P09012,P63162,1
Q15397,Q9BYG3,1
Q13243,Q9BYG3,1
O15541,Q969L4,0
O75494,P79522,0
P09651,P41214,0
P08621,Q86TM3,0
Q7Z2W4,Q9BYG3,1
P84103,Q8WXF0,1
Q8WXA9,Q9BX46,0
P55795,Q9NQZ3,0
P79522,Q9NWB1,0
Q92879,Q9BX46,0
P09651,Q01130,0
Q9BX46,Q9H9Z2,0
Q8N5P1,Q9NXG2,1
Q7Z2W4,Q9H9Z2,1
P57052,Q13247,0
P55795,Q8WVV9,0
P21399,Q8WVV9,0
Q86U06,Q9BX46,0
P08621,Q8WXF0,1
Q7Z2T5,Q8N6W0,0
Q16587,Q9BYG3,0
Q15397,Q7Z2W4,1
P55795,Q13243,0
O60812,O75152,1
Q07955,Q13243,1
Q8WVV9,Q9BWF3,0
Q9H9Z2,Q9NXG2,1
Q15397,Q9BWF3,1
P47974,Q8NDT2,0
Q5SZQ8,Q9H361,0
Q07955,Q15397,1
P60484,Q8N5P1,0
Q07955,Q13243,1
Q8NDT2,Q92879,0
P26368,Q9BWF3,0
P21399,Q9H9Z2,0
Q5SZQ8,Q9H0L4,0
Q13243,Q7Z2W4,1
P26651,Q8NDT2,0
Q86U42,Q9UPS6,0
Q8WVV9,Q8WXF0,0
P60484,Q12872,0
Q8WXF0,Q9H9Z2,1
Q53GL7,Q8NDT2,0
Q15397,Q7Z2W4,1
P79522,Q7Z2W4,1
Q07955,Q13243,1
O75494,P09651,0
Q05519,Q12872,0
P21399,P79522,0
P41214,Q9BZC1,0
Q13243,Q9BYG3,1
Q15397,Q9BWF3,1
Q969L4,Q9BRA0,0
O95758,Q9BRL6,0
Q8WVV9,Q99973,0
O95758,Q9BTD8,0
P08621,P09012,1
P84103,Q16587,0
Q08170,Q96K80,1
Q07955,Q7Z2W4,1
P04406,Q8WXF0,0
Q05519,Q8WXF0,1
P09012,P63162,1
P84103,Q8WXF0,1
P08621,Q96J87,0
P41214,Q86U06,0
P08621,Q8WXF0,1
P57052,Q14151,0
O14979,Q13064,0
Q08170,Q8WXF0,1
Q05519,Q9BRL6,0
Q07955,Q7Z2W4,1
Q8WXF0,Q9H9Z2,1
Q8IWZ8,Q9BRL6,0
Q15397,Q96K80,1
Q460N5,Q9BX46,0
P48200,Q5SZQ8,0
Q5SZQ8,Q8N5P1,0
A6NDE4,Q86V81,0
Q9BYG3,Q9H9Z2,1
P41214,Q15415,0
Q08170,Q8WXA9,0
Q08170,Q96K80,1
P41214,Q13117,0
O43251,Q13243,0
O95104,Q9BRA0,0
Q460N5,Q96QC0,0
P04406,Q9Y2T7,0
O60812,O75152,1
Q9NR90,Q9UPN6,0
Q15397,Q9BYG3,1
O95218,Q9BTD8,0
O15042,O95758,0
P08621,Q8WXF0,1
O15047,Q8N5P1,0
Q13243,Q7Z2W4,1
Q96PK6,Q9NQZ3,0
Q15397,Q9BWF3,1
P08621,P26651,0
Q7Z2W4,Q9H9Z2,1
P84103,Q15415,0
Q15397,Q9BWF3,1
Q9BYG3,Q9H9Z2,1
O60812,O75152,1
Q9H9Z2,Q9NXG2,1
P10155,P84103,1
P08621,Q9BRL6,0
Q08170,Q86TM3,0
Q8WXF0,Q9H9Z2,1
Q53GL7,Q9NWB1,0
O60812,P09651,0
O95758,P04406,0
Q8WU68,Q9UNW9,0
Q9BYG3,Q9H9Z2,1
O75494,Q99973,0
Q13243,Q7Z2W4,1
Q15397,Q9BYG3,1
Q08170,Q13243,1
Q53GL7,Q96K80,0
Q86U42,Q96K80,0
Q92945,Q9H0J9,0
P09012,P63162,1
P98179,Q9BRA0,0
Q05519,Q8WXF0,1
P47974,Q9BZC1,0
Q9BYG3,Q9Y2T7,1
Q86TM3,Q8IWZ8,0
P0DJD3,Q9BTD8,0
P0DJD3,Q13117,0
Q07955,Q15397,1
Q86U06,Q96PK6,0
Q7Z2W4,Q9BYG3,1
P10155,Q13242,0
Q8WXA9,Q92945,0
P48200,Q86V81,1
Q05519,Q7Z2W4,0
Q96K80,Q9BYG3,1
Q9H0J9,Q9NQS3,0
Q9BYG3,Q9Y2T7,1
P98179,Q96K80,0
P09012,Q8N6W0,0
Q05519,Q8WXF0,1
O95218,Q8WXF0,0
O75152,P08621,0
P26368,Q96PK6,0
O75152,P84103,1
Q9H9Z2,Q9NXG2,1
Q8WXF0,Q9H9Z2,1
Q16629,Q9UPN6,0
Q13242,Q9H0J9,0
Q8N5P1,Q9Y2T7,1
P08621,Q9Y4F3,0
Q8N5P1,Q9NXG2,1
Q13243,Q9BYG3,1
P60484,Q9BRA0,0
O75152,Q08170,0
Q01130,Q86TM3,0
P84103,Q08170,1
Q96K80,Q9BYG3,1
P48200,Q86V81,1
O60812,O95319,0
Q8N5P1,Q9H9Z2,1
Q8WXA9,Q96PK6,0
P52597,P98179,0
P08621,P09012,1
P98179,Q9UPT8,0
O15541,P0DJD3,0
A6NDE4,P21399,0
O15504,Q460N5,0
O75152,Q9NQS3,0
Q8WXF0,Q9H9Z2,1
O60812,Q9BYG3,0
P0DJD3,Q13243,0
Q07955,Q9BWF3,0
O95758,P52597,0
P48200,Q9BWF3,0
Q12872,Q6ZN04,0
P63162,Q05519,0
Q5SZQ8,Q9UPT8,0
Q13247,Q6ZN04,0
O75152,Q14151,1
Q7Z2W4,Q9BYG3,1
Q7Z2W4,Q9H9Z2,1
Q07955,Q7Z2W4,1
P98179,Q9UPN6,0
O95758,P84103,0
Q13243,Q15397,1
P09012,P63162,1
O15042,Q9UPN6,0
Q15415,Q9Y4F3,0
P26651,Q8IWZ8,0
O95319,P26651,0
Q9BYG3,Q9Y2T7,1
Q05519,Q8WXF0,1
P04406,Q99973,0
Q460N5,Q8WU68,0
Q7Z2W4,Q96K80,1
Q8NDT2,Q96K80,0
Q08170,Q9Y2T7,1
A6NDE4,Q16600,0
Q07955,Q7Z2W4,1
Q13243,Q7Z2W4,1
O15504,Q7Z2T5,0
P84103,Q08170,1
Q05519,Q8WXF0,1
P48200,Q86V81,1
